,date,protocol,chain,usd_value,net_dollar_flow,net_dollar_flow_latest_price,rank_desc
233997,2022-12-02,rage-trade,Arbitrum,3303431.46742,-20006.164333978864,0.0,33
234971,2022-12-03,rage-trade,Arbitrum,3304670.51856,15584.630022678819,0.0,32
235936,2022-12-04,rage-trade,Arbitrum,3262391.69819,-43154.873437476956,0.0,31
236911,2022-12-05,rage-trade,Arbitrum,3318683.07823,49456.02007091071,0.0,30
237897,2022-12-06,rage-trade,Arbitrum,3281939.16331,-33431.85596758344,0.0,29
238883,2022-12-07,rage-trade,Arbitrum,3287381.89538,11062.356184093016,0.0,28
239870,2022-12-08,rage-trade,Arbitrum,3242312.34566,-50708.14825072259,0.0,27
240856,2022-12-09,rage-trade,Arbitrum,3302181.00005,65397.75246681186,0.0,26
241838,2022-12-10,rage-trade,Arbitrum,3283699.00117,-19519.617314430136,0.0,25
242821,2022-12-11,rage-trade,Arbitrum,3286772.78509,3004.7991387424427,0.0,24
243803,2022-12-12,rage-trade,Arbitrum,3264828.66625,-23167.25333000021,0.0,23
244786,2022-12-13,rage-trade,Arbitrum,13290545.5025,10025716.83625,13291648.70935,22
245769,2022-12-14,rage-trade,Arbitrum,13582227.2478,290777.91318576573,290782.2749200016,21
246751,2022-12-15,rage-trade,Arbitrum,13589916.82617,11465.494175617609,11468.854549998417,20
247731,2022-12-16,rage-trade,Arbitrum,13550019.11374,-43146.654494853065,-43148.984539998695,19
248716,2022-12-17,rage-trade,Arbitrum,13471631.40285,-92670.20228466282,-92577.6246600002,18
249698,2022-12-18,rage-trade,Arbitrum,13479603.61953,7972.2166824281985,7964.252429999411,17
250683,2022-12-19,rage-trade,Arbitrum,13489613.79494,23476.31289000064,23476.31289000064,16
251668,2022-12-20,rage-trade,Arbitrum,13479893.65272,-23209.75600943029,-23186.56943999976,15
252660,2022-12-21,rage-trade,Arbitrum,13567711.1855,74351.10555029279,74202.70014999993,14
253647,2022-12-22,rage-trade,Arbitrum,13525911.28297,-28259.27261158272,-28231.04157000035,13
254634,2022-12-23,rage-trade,Arbitrum,13505853.12181,-20058.161153027875,-20038.123029999435,12
255624,2022-12-24,rage-trade,Arbitrum,13513571.24583,7718.124013602676,7710.4135999996215,11
256614,2022-12-25,rage-trade,Arbitrum,13521037.47939,7466.233564790479,7458.7747900001705,10
257604,2022-12-26,rage-trade,Arbitrum,13521252.52469,215.04530046946329,214.83046999946237,9
258598,2022-12-27,rage-trade,Arbitrum,13534604.22892,13351.704235865092,13338.365870000795,8
259601,2022-12-28,rage-trade,Arbitrum,13428007.98178,-87234.05608076807,-87271.75748000108,7
260604,2022-12-29,rage-trade,Arbitrum,13391262.46341,-42548.92489000037,-42548.92489000037,6
261607,2022-12-30,rage-trade,Arbitrum,13415903.81619,11250.090311464804,11238.8514600005,5
262612,2022-12-31,rage-trade,Arbitrum,13395112.28011,-7389.034760000184,-7389.034760000184,4
263617,2023-01-01,rage-trade,Arbitrum,13382016.96033,-26490.432068115988,-26463.968100000173,3
264622,2023-01-02,rage-trade,Arbitrum,13356470.08169,-12178.230319999158,-12178.230319999158,2
265627,2023-01-03,rage-trade,Arbitrum,13389945.817,33475.735309999436,33475.735309999436,1
