dt,num_txs,total_gas,avg_gas_price,total_gas_used
2021-07-21,5,135600201,15000000,5152941
2021-07-22,5,66640199,15000000,5152087
2021-07-23,3,36780048,15000000,2388903
2021-07-24,68,741791108,15000000,55848702
2021-07-25,58,707150933,15000000,47224316
2021-07-26,32,931220747,15000000,27785782
2021-07-27,18,411700300,15000000,14437282
2021-07-28,37,777500620,15000000,30734928
2021-07-29,21,452510336,15000000,16725702
2021-07-30,24,639030505,15000000,20803761
2021-07-31,17,303550272,15000000,13537813
2021-08-01,43,933830730,15000000,35869338
2021-08-02,13,422430208,15000000,10354207
2021-08-03,19,509960387,15000000,16427064
2021-08-04,35,997770705,15000000,29270119
2021-08-05,27,967750437,15000000,21536566
2021-08-06,23,761700402,15000000,19160900
2021-08-07,20,775060325,15000000,15971638
2021-08-08,51,1539040821,15000000,41169513
2021-08-09,35,1265580570,15000000,27940005
2021-08-10,31,1097540516,15000000,26412021
2021-08-11,35,1702250575,15000000,29038354
2021-08-12,29,1108540474,15000000,24217418
2021-08-13,46,1402910746,15000000,38254164
2021-08-14,29,988440469,15000000,23647151
2021-08-15,44,1133250729,15000000,36797920
2021-08-16,50,1802430800,15000000,39824006
2021-08-17,37,1261700650,15000000,31061054
2021-08-18,98,3005171618,15000000,82067895
2021-08-19,55,1526090905,15000000,47101026
2021-08-20,28,959570448,15000000,22301403
2021-08-21,36,955560565,15000000,29222214
2021-08-22,59,1340400944,15000000,46958644
2021-08-23,32,1364010610,15000000,28437914
2021-08-24,58,2705240953,15000000,47441432
2021-08-25,11,918050292,15000000,9889752
2021-08-26,20,1368590340,15000000,17650827
2021-08-27,12,984470279,15000000,10404138
2021-08-28,9,424310144,15000000,7168299
2021-08-29,16,823300261,15000000,12787478
2021-08-30,40,2444960639,15000000,33010016
2021-08-31,19655,1661780291978,15000000,27188886873
2021-09-01,22508,2115505674765,15000000,30994081398
2021-09-02,18895,1579897304107,15000000,25942576995
2021-09-03,18111,2111549715145,15000000,24605385575
2021-09-04,15242,1438417771559,15000000,20852156386
2021-09-05,16676,1409444633501,15000000,23027876511
2021-09-06,18578,1578779578228,15000000,25224516060
2021-09-07,3847,260353132287,15000000,5172774350
